rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate,lastName,firstName,country_cpi,country_gdp,country_population,country_lat, country_long,city_lat,city_long
1,211000,Fashion & Retail,Bernard Arnault & family,74.0,France,Paris,LVMH,Fashion & Retail,France,False,M,3/5/1949 0:00,Arnault,Bernard,110.05,"$2,715,518,274,227 ",67059887.0,46.227638,2.213749,48.8567,2.3522
2,180000,Automotive,Elon Musk,51.0,United States,Austin,"Tesla, SpaceX",Automotive,United States,True,M,6/28/1971 0:00,Musk,Elon,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,30.3005,-97.7522
2,180000,Automotive,Elon Musk,51.0,United States,Austin,"Tesla, SpaceX",Automotive,United States,True,M,6/28/1971 0:00,Musk,Elon,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,43.6721,-92.9784
3,114000,Technology,Jeff Bezos,59.0,United States,Medina,Amazon,Technology,United States,True,M,1/12/1964 0:00,Bezos,Jeff,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,41.1358,-81.8695
4,107000,Technology,Larry Ellison,78.0,United States,Lanai,Oracle,Technology,United States,True,M,8/17/1944 0:00,Ellison,Larry,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,,
5,106000,Finance & Investments,Warren Buffett,92.0,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,True,M,8/30/1930 0:00,Buffett,Warren,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,41.2627,-96.0529
6,104000,Technology,Bill Gates,67.0,United States,Medina,Microsoft,Technology,United States,True,M,10/28/1955 0:00,Gates,Bill,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,41.1358,-81.8695
7,94500,Media & Entertainment,Michael Bloomberg,81.0,United States,New York,Bloomberg LP,Media & Entertainment,United States,True,M,2/14/1942 0:00,Bloomberg,Michael,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,40.6943,-73.9249
8,93000,Telecom,Carlos Slim Helu & family,83.0,Mexico,Mexico City,Telecom,Telecom,Mexico,True,M,1/28/1940 0:00,Slim Helu,Carlos,141.54,"$1,258,286,717,125 ",126014024.0,23.634501,-102.552784,19.4333,-99.1333
9,83400,Diversified,Mukesh Ambani,65.0,India,Mumbai,Diversified,Diversified,India,False,M,4/19/1957 0:00,Ambani,Mukesh,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288,19.0761,72.8775
10,80700,Technology,Steve Ballmer,67.0,United States,Hunts Point,Microsoft,Technology,United States,True,M,3/24/1956 0:00,Ballmer,Steve,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,,
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69.0,France,Paris,L'Oréal,Fashion & Retail,France,False,F,7/10/1953 0:00,Bettencourt Meyers,Francoise,110.05,"$2,715,518,274,227 ",67059887.0,46.227638,2.213749,48.8567,2.3522
12,79200,Technology,Larry Page,50.0,United States,Palo Alto,Google,Technology,United States,True,M,3/26/1973 0:00,Page,Larry,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,37.3905,-122.1468
13,77300,Fashion & Retail,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,True,M,3/28/1936 0:00,Ortega,Amancio,110.96,"$1,394,116,310,769 ",47076781.0,40.463667,-3.74922,,
14,76000,Technology,Sergey Brin,49.0,United States,Los Altos,Google,Technology,United States,True,M,8/21/1973 0:00,Brin,Sergey,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,37.3684,-122.0965
15,68000,Food & Beverage,Zhong Shanshan,68.0,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,True,M,12/1/1954 0:00,Zhong,Shanshan,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,30.267,120.153
16,64400,Technology,Mark Zuckerberg,38.0,United States,Palo Alto,Facebook,Technology,United States,True,M,5/14/1984 0:00,Zuckerberg,Mark,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,37.3905,-122.1468
17,59000,Diversified,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,United States,False,M,11/1/1935 0:00,Koch,Charles,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,37.6895,-97.3443
17,59000,Diversified,Julia Koch & family,60.0,United States,New York,Koch Industries,Diversified,United States,False,F,4/12/1962 0:00,Koch,Julia,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,40.6943,-73.9249
19,58800,Fashion & Retail,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,M,6/7/1948 0:00,Walton,Jim,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,36.3547,-94.2305
20,57600,Fashion & Retail,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,M,10/27/1944 0:00,Walton,Rob,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,36.3547,-94.2305
21,56700,Fashion & Retail,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,United States,False,F,10/7/1949 0:00,Walton,Alice,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,32.7817,-97.3474
22,54400,Media & Entertainment,David Thomson & family,65.0,Canada,Toronto,Media,Media & Entertainment,Canada,False,M,6/12/1957 0:00,Thomson,David,116.76,"$1,736,425,629,520 ",36991981.0,56.130366,-106.346771,43.7417,-79.3733
23,50100,Technology,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,True,M,2/23/1965 0:00,Dell,Michael,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,30.3005,-97.7522
23,50100,Technology,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,True,M,2/23/1965 0:00,Dell,Michael,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,43.6721,-92.9784
24,47200,Diversified,Gautam Adani,60.0,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,True,M,6/24/1962 0:00,Adani,Gautam,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288,23.0225,72.5714
25,45100,Fashion & Retail,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,United States,True,M,2/24/1938 0:00,Knight,Phil,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,45.5273,-122.936
26,45000,Technology,Zhang Yiming,39.0,China,Beijing,TikTok,Technology,China,True,M,1/1/1984 0:00,Zhang,Yiming,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,39.9067,116.3975
27,42900,Fashion & Retail,Dieter Schwarz,83.0,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,False,M,9/24/1939 0:00,Schwarz,Dieter,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526,49.1917,9.2246
28,40100,Fashion & Retail,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,France,True,M,8/21/1936 0:00,Pinault,François,110.05,"$2,715,518,274,227 ",67059887.0,46.227638,2.213749,48.8567,2.3522
29,39100,Logistics,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,False,M,6/2/1937 0:00,Kuehne,Klaus-Michael,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512,,
30,38900,Food & Beverage,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,False,M,9/21/1964 0:00,Ferrero,Giovanni,117.11,"$529,606,710,418 ",11484055.0,50.503887,4.469936,50.8467,4.3525
31,38300,Food & Beverage,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,False,F,10/10/1939 0:00,Mars,Jacqueline,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,,
31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,10/15/1935 0:00,Mars,John,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,32.3157,-90.2125
31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,10/15/1935 0:00,Mars,John,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,42.2431,-84.4038
31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,10/15/1935 0:00,Mars,John,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,35.6538,-88.8354
31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,10/15/1935 0:00,Mars,John,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,40.098,-74.3578
31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,10/15/1935 0:00,Mars,John,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,37.3792,-89.6522
31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,10/15/1935 0:00,Mars,John,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,43.472,-110.7746
31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,10/15/1935 0:00,Mars,John,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,40.3774,-76.3142
31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,10/15/1935 0:00,Mars,John,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,39.9057,-76.8796
33,38000,Diversified,Li Ka-shing,94.0,Hong Kong,,Diversified,Diversified,Hong Kong,True,M,6/13/1928 0:00,Li,Ka-shing,,,,,,,
34,35300,Technology,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,True,M,10/29/1971 0:00,Ma,Huateng,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,22.5415,114.0596
35,35000,Gambling & Casinos,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,False,F,10/10/1945 0:00,Adelson,Miriam,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,36.2333,-115.2654
35,35000,Gambling & Casinos,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,False,F,10/10/1945 0:00,Adelson,Miriam,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,35.6011,-105.2206
35,35000,Finance & Investments,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,True,M,10/15/1968 0:00,Griffin,Ken,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,25.784,-80.2101
35,35000,Finance & Investments,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,True,M,10/15/1968 0:00,Griffin,Ken,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,36.8878,-94.8711
37,34700,Food & Beverage,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,False,M,5/7/1992 0:00,Mateschitz,Mark,118.06,"$446,314,739,528 ",8877067.0,47.516231,14.550072,47.8,13.045
38,33400,Automotive,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,True,M,1/1/1969 0:00,Zeng,Robin,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,26.6662,119.5477
39,32600,Fashion & Retail,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,True,M,2/7/1949 0:00,Yanai,Tadashi,105.48,"$5,081,769,542,380 ",126226568.0,36.204824,138.252924,35.6897,139.6922
40,32100,Diversified,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,True,M,6/1/1957 0:00,Blavatnik,Len,119.62,"$2,827,113,184,696 ",66834405.0,55.378051,-3.435973,51.5072,-0.1275
41,31600,Fashion & Retail,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,False,M,8/28/1948 0:00,Wertheimer,Alain,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,40.6943,-73.9249
41,31600,Fashion & Retail,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,False,M,1/9/1951 0:00,Wertheimer,Gerard,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,40.6943,-73.9249
43,31200,Logistics,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,M,6/27/1940 0:00,Aponte,Gianluigi,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512,46.2017,6.1469
43,31200,Logistics,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,F,3/26/1945 0:00,Aponte-Diamant,Rafaela,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512,46.2017,6.1469
45,30200,Technology,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,True,M,2/2/1980 0:00,Huang,Colin Zheng,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,31.2286,121.4747
46,29700,Manufacturing,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,True,M,4/20/1935 0:00,Wuerth,Reinhold,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526,,
47,29500,Real Estate,Lee Shau Kee,95.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,M,1/29/1928 0:00,Lee,Shau Kee,,,,,,22.3,114.2
48,28500,Finance & Investments,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,True,M,7/17/1958 0:00,Yass,Jeff,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,39.9868,-75.3164
49,28100,Finance & Investments,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,True,M,4/25/1938 0:00,Simons,Jim,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,40.921,-73.0942
50,27800,Finance & Investments,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,True,M,2/14/1947 0:00,Schwarzman,Stephen,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,40.6943,-73.9249
51,27400,Automotive,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,False,F,4/28/1962 0:00,Klatten,Susanne,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526,50.2167,8.6
52,27000,Metals & Mining,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,False,F,2/9/1954 0:00,Rinehart,Gina,119.8,"$1,392,680,589,329 ",25766605.0,-25.274398,133.775136,-31.9559,115.8606
53,26700,Technology,William Ding,51.0,China,Hangzhou,Online games,Technology,China,True,M,10/1/1971 0:00,Ding,William,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,30.267,120.153
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,False,M,10/26/1953 0:00,Larrea Mota Velasco,Germán,141.54,"$1,258,286,717,125 ",126014024.0,23.634501,-102.552784,19.4333,-99.1333
55,25600,Technology,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,True,M,7/18/1945 0:00,Nadar,Shiv,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288,28.61,77.23
56,25500,Energy,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,True,M,4/17/1948 0:00,Low Tuck,Kwong,151.18,"$1,119,190,780,753 ",270203917.0,-0.789275,113.921327,-6.175,106.8275
57,25300,Finance & Investments,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,True,M,9/30/1944 0:00,Peterffy,Thomas,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,26.6945,-80.0408
58,25200,Metals & Mining,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,True,M,3/8/1972 0:00,Melnichenko,Andrey,114.52,"$421,142,267,938 ",9770529.0,23.424076,53.847818,,
59,24600,Automotive,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,False,M,5/9/1966 0:00,Quandt,Stefan,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526,50.1106,8.6822
60,24400,Technology,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,False,F,4/7/1970 0:00,Scott,MacKenzie,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,47.6211,-122.3244
61,24200,Finance & Investments,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,False,M,1/1/1941 0:00,Hartono,R. Budi,151.18,"$1,119,190,780,753 ",270203917.0,-0.789275,113.921327,,
62,23700,Metals & Mining,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,Russia,True,M,1/3/1961 0:00,Potanin,Vladimir,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756,55.7558,37.6172
63,23500,Technology,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,True,M,9/10/1964 0:00,Ma,Jack,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,30.267,120.153
64,23400,Manufacturing,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,True,M,8/11/1942 0:00,He,Xiangjian,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,23.0214,113.1216
65,23100,Metals & Mining,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,False,F,1/1/1943 0:00,Fontbona,Iris,131.91,"$282,318,159,745 ",18952038.0,-35.675147,-71.542969,-33.4372,-70.6506
65,23100,Manufacturing,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,False,M,10/2/1939 0:00,Hartono,Michael,151.18,"$1,119,190,780,753 ",270203917.0,-0.789275,113.921327,,
67,22900,Manufacturing,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,M,1/1/1953 0:00,Ratcliffe,James,119.62,"$2,827,113,184,696 ",66834405.0,55.378051,-3.435973,51.5072,-0.1275
68,22600,Healthcare,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,False,M,5/11/1941 0:00,Poonawalla,Cyrus,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288,18.5203,73.8567
69,22400,Telecom,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,True,M,8/11/1957 0:00,Son,Masayoshi,105.48,"$5,081,769,542,380 ",126226568.0,36.204824,138.252924,35.6897,139.6922
70,22100,Metals & Mining,Vladimir Lisin,66.0,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,True,M,5/7/1956 0:00,Lisin,Vladimir,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756,55.7558,37.6172
71,22000,Food & Beverage,Emmanuel Besnier,52.0,France,Laval,Cheese,Food & Beverage,France,False,M,9/18/1970 0:00,Besnier,Emmanuel,110.05,"$2,715,518,274,227 ",67059887.0,46.227638,2.213749,48.0733,-0.7689
72,21600,Finance & Investments,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,F,12/19/1961 0:00,Johnson,Abigail,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,34.1353,-84.3139
72,21600,Finance & Investments,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,F,12/19/1961 0:00,Johnson,Abigail,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,42.2412,-71.0844
72,21600,Finance & Investments,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,F,12/19/1961 0:00,Johnson,Abigail,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,43.0406,-73.8998
72,21600,Finance & Investments,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,F,12/19/1961 0:00,Johnson,Abigail,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,44.6429,-73.1538
72,21600,Finance & Investments,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,F,12/19/1961 0:00,Johnson,Abigail,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,30.6286,-87.0522
72,21600,Finance & Investments,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,F,12/19/1961 0:00,Johnson,Abigail,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,47.2524,-122.3153
72,21600,Energy,Leonid Mikhelson & family,67.0,Russia,Moscow,"Gas, chemicals",Energy,Russia,True,M,8/11/1955 0:00,Mikhelson,Leonid,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756,55.7558,37.6172
74,21200,Fashion & Retail,Lukas Walton,36.0,United States,Chicago,Walmart,Fashion & Retail,United States,False,M,9/19/1986 0:00,Walton,Lukas,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,41.8375,-87.6866
74,21200,Service,Wang Wei,52.0,China,Shenzhen,Package delivery,Service,China,True,M,10/1/1970 0:00,Wang,Wei,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,22.5415,114.0596
76,21100,Technology,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,United States,True,M,2/17/1963 0:00,Huang,Jensen,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,37.3684,-122.0965
77,21000,Fashion & Retail,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,United States,False,M,3/19/1933 0:00,Lauder,Leonard,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,40.6943,-73.9249
